date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:31:08	264/264	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2023%20Apr%202022%2014:31:08%20GMT	https://karafuru-nfts.com/static/fonts/BlenderPro-Heavy.html	D:/misc/dogshit/Hello%20CIA,%20Dont%20Arrest%20me/karafuru-nfts.com/static/fonts/BlenderPro-Heavy.1f.delayed	(from https://karafuru-nfts.com/static/css/style.css)
18:31:09	264/264	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2023%20Apr%202022%2014:31:09%20GMT	https://karafuru-nfts.com/static/fonts/BlenderPro-Heavyd41d.html?	D:/misc/dogshit/Hello%20CIA,%20Dont%20Arrest%20me/karafuru-nfts.com/static/fonts/BlenderPro-Heavyd41d.20d41d.delayed	(from https://karafuru-nfts.com/static/css/style.css)
18:31:10	15920/15920	---M--	200	added ('OK')	font/woff2	etag:%223e30-5d7e33ba88080%22	https://karafuru-nfts.com/static/fonts/BlenderPro-Heavy.woff2	D:/misc/dogshit/Hello%20CIA,%20Dont%20Arrest%20me/karafuru-nfts.com/static/fonts/BlenderPro-Heavy.woff2	(from https://karafuru-nfts.com/static/css/style.css)
18:31:11	264/264	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2023%20Apr%202022%2014:31:11%20GMT	https://karafuru-nfts.com/static/fonts/BlenderPro-Heavy.woff	D:/misc/dogshit/Hello%20CIA,%20Dont%20Arrest%20me/karafuru-nfts.com/static/fonts/BlenderPro-Heavy.22.delayed	(from https://karafuru-nfts.com/static/css/style.css)
18:31:12	264/264	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2023%20Apr%202022%2014:31:12%20GMT	https://karafuru-nfts.com/static/fonts/BlenderPro-Heavy-2.html	D:/misc/dogshit/Hello%20CIA,%20Dont%20Arrest%20me/karafuru-nfts.com/static/fonts/BlenderPro-Heavy-2.23.delayed	(from https://karafuru-nfts.com/static/css/style.css)
18:31:13	264/264	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2023%20Apr%202022%2014:31:13%20GMT	https://karafuru-nfts.com/static/fonts/BlenderPro-BookItalic.html	D:/misc/dogshit/Hello%20CIA,%20Dont%20Arrest%20me/karafuru-nfts.com/static/fonts/BlenderPro-BookItalic.24.delayed	(from https://karafuru-nfts.com/static/css/style.css)
18:31:14	264/264	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2023%20Apr%202022%2014:31:14%20GMT	https://karafuru-nfts.com/static/fonts/BlenderPro-BookItalicd41d.html?	D:/misc/dogshit/Hello%20CIA,%20Dont%20Arrest%20me/karafuru-nfts.com/static/fonts/BlenderPro-BookItalicd41d.25d41d.delayed	(from https://karafuru-nfts.com/static/css/style.css)
18:31:15	264/264	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2023%20Apr%202022%2014:31:15%20GMT	https://karafuru-nfts.com/static/fonts/BlenderPro-BookItalic-2.html	D:/misc/dogshit/Hello%20CIA,%20Dont%20Arrest%20me/karafuru-nfts.com/static/fonts/BlenderPro-BookItalic-2.26.delayed	(from https://karafuru-nfts.com/static/css/style.css)
18:31:16	264/264	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2023%20Apr%202022%2014:31:16%20GMT	https://karafuru-nfts.com/static/fonts/BlenderPro-BookItalic-3.html	D:/misc/dogshit/Hello%20CIA,%20Dont%20Arrest%20me/karafuru-nfts.com/static/fonts/BlenderPro-BookItalic-3.27.delayed	(from https://karafuru-nfts.com/static/css/style.css)
18:31:17	264/264	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2023%20Apr%202022%2014:31:17%20GMT	https://karafuru-nfts.com/static/fonts/BlenderPro-BookItalic-4.html	D:/misc/dogshit/Hello%20CIA,%20Dont%20Arrest%20me/karafuru-nfts.com/static/fonts/BlenderPro-BookItalic-4.28.delayed	(from https://karafuru-nfts.com/static/css/style.css)
18:31:18	264/264	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2023%20Apr%202022%2014:31:18%20GMT	https://karafuru-nfts.com/static/fonts/BlenderPro-Book.html	D:/misc/dogshit/Hello%20CIA,%20Dont%20Arrest%20me/karafuru-nfts.com/static/fonts/BlenderPro-Book.29.delayed	(from https://karafuru-nfts.com/static/css/style.css)
18:31:19	264/264	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2023%20Apr%202022%2014:31:19%20GMT	https://karafuru-nfts.com/static/fonts/BlenderPro-Bookd41d.html?	D:/misc/dogshit/Hello%20CIA,%20Dont%20Arrest%20me/karafuru-nfts.com/static/fonts/BlenderPro-Bookd41d.2ad41d.delayed	(from https://karafuru-nfts.com/static/css/style.css)
18:31:20	264/264	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2023%20Apr%202022%2014:31:20%20GMT	https://karafuru-nfts.com/static/fonts/BlenderPro-Book-2.html	D:/misc/dogshit/Hello%20CIA,%20Dont%20Arrest%20me/karafuru-nfts.com/static/fonts/BlenderPro-Book-2.2b.delayed	(from https://karafuru-nfts.com/static/css/style.css)
18:31:21	264/264	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2023%20Apr%202022%2014:31:21%20GMT	https://karafuru-nfts.com/static/fonts/BlenderPro-Book-3.html	D:/misc/dogshit/Hello%20CIA,%20Dont%20Arrest%20me/karafuru-nfts.com/static/fonts/BlenderPro-Book-3.2c.delayed	(from https://karafuru-nfts.com/static/css/style.css)
18:31:22	264/264	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2023%20Apr%202022%2014:31:22%20GMT	https://karafuru-nfts.com/static/fonts/BlenderPro-Book-4.html	D:/misc/dogshit/Hello%20CIA,%20Dont%20Arrest%20me/karafuru-nfts.com/static/fonts/BlenderPro-Book-4.2d.delayed	(from https://karafuru-nfts.com/static/css/style.css)
18:31:22	264/264	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2023%20Apr%202022%2014:31:22%20GMT	https://karafuru-nfts.com/static/fonts/BlenderPro-Bold.html	D:/misc/dogshit/Hello%20CIA,%20Dont%20Arrest%20me/karafuru-nfts.com/static/fonts/BlenderPro-Bold.2e.delayed	(from https://karafuru-nfts.com/static/css/style.css)
18:31:23	264/264	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2023%20Apr%202022%2014:31:23%20GMT	https://karafuru-nfts.com/static/fonts/BlenderPro-Boldd41d.html?	D:/misc/dogshit/Hello%20CIA,%20Dont%20Arrest%20me/karafuru-nfts.com/static/fonts/BlenderPro-Boldd41d.2fd41d.delayed	(from https://karafuru-nfts.com/static/css/style.css)
18:31:25	20056/20056	---M--	200	added ('OK')	font/woff2	etag:%224e58-5d7e33ab45c80%22	https://karafuru-nfts.com/static/fonts/BlenderPro-Bold.woff2	D:/misc/dogshit/Hello%20CIA,%20Dont%20Arrest%20me/karafuru-nfts.com/static/fonts/BlenderPro-Bold.woff2	(from https://karafuru-nfts.com/static/css/style.css)
18:31:25	264/264	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2023%20Apr%202022%2014:31:25%20GMT	https://karafuru-nfts.com/static/fonts/BlenderPro-Bold.woff	D:/misc/dogshit/Hello%20CIA,%20Dont%20Arrest%20me/karafuru-nfts.com/static/fonts/BlenderPro-Bold.31.delayed	(from https://karafuru-nfts.com/static/css/style.css)
18:31:26	264/264	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2023%20Apr%202022%2014:31:26%20GMT	https://karafuru-nfts.com/static/fonts/BlenderPro-Bold-2.html	D:/misc/dogshit/Hello%20CIA,%20Dont%20Arrest%20me/karafuru-nfts.com/static/fonts/BlenderPro-Bold-2.32.delayed	(from https://karafuru-nfts.com/static/css/style.css)
18:31:27	264/264	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2023%20Apr%202022%2014:31:27%20GMT	https://karafuru-nfts.com/static/fonts/BlenderPro-Thin.html	D:/misc/dogshit/Hello%20CIA,%20Dont%20Arrest%20me/karafuru-nfts.com/static/fonts/BlenderPro-Thin.33.delayed	(from https://karafuru-nfts.com/static/css/style.css)
18:31:28	264/264	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2023%20Apr%202022%2014:31:28%20GMT	https://karafuru-nfts.com/static/fonts/BlenderPro-Thind41d.html?	D:/misc/dogshit/Hello%20CIA,%20Dont%20Arrest%20me/karafuru-nfts.com/static/fonts/BlenderPro-Thind41d.34d41d.delayed	(from https://karafuru-nfts.com/static/css/style.css)
18:31:29	264/264	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2023%20Apr%202022%2014:31:29%20GMT	https://karafuru-nfts.com/static/fonts/BlenderPro-Thin-2.html	D:/misc/dogshit/Hello%20CIA,%20Dont%20Arrest%20me/karafuru-nfts.com/static/fonts/BlenderPro-Thin-2.35.delayed	(from https://karafuru-nfts.com/static/css/style.css)
18:31:30	264/264	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2023%20Apr%202022%2014:31:30%20GMT	https://karafuru-nfts.com/static/fonts/BlenderPro-Thin-3.html	D:/misc/dogshit/Hello%20CIA,%20Dont%20Arrest%20me/karafuru-nfts.com/static/fonts/BlenderPro-Thin-3.36.delayed	(from https://karafuru-nfts.com/static/css/style.css)
18:31:31	264/264	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2023%20Apr%202022%2014:31:31%20GMT	https://karafuru-nfts.com/static/fonts/BlenderPro-Thin-4.html	D:/misc/dogshit/Hello%20CIA,%20Dont%20Arrest%20me/karafuru-nfts.com/static/fonts/BlenderPro-Thin-4.37.delayed	(from https://karafuru-nfts.com/static/css/style.css)
18:31:32	264/264	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2023%20Apr%202022%2014:31:32%20GMT	https://karafuru-nfts.com/static/fonts/BlenderPro-MediumItalic.html	D:/misc/dogshit/Hello%20CIA,%20Dont%20Arrest%20me/karafuru-nfts.com/static/fonts/BlenderPro-MediumItalic.38.delayed	(from https://karafuru-nfts.com/static/css/style.css)
18:31:33	264/264	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2023%20Apr%202022%2014:31:33%20GMT	https://karafuru-nfts.com/static/fonts/BlenderPro-MediumItalicd41d.html?	D:/misc/dogshit/Hello%20CIA,%20Dont%20Arrest%20me/karafuru-nfts.com/static/fonts/BlenderPro-MediumItalicd41d.39d41d.delayed	(from https://karafuru-nfts.com/static/css/style.css)
18:31:34	264/264	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2023%20Apr%202022%2014:31:34%20GMT	https://karafuru-nfts.com/static/fonts/BlenderPro-MediumItalic-2.html	D:/misc/dogshit/Hello%20CIA,%20Dont%20Arrest%20me/karafuru-nfts.com/static/fonts/BlenderPro-MediumItalic-2.3a.delayed	(from https://karafuru-nfts.com/static/css/style.css)
18:31:35	264/264	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2023%20Apr%202022%2014:31:35%20GMT	https://karafuru-nfts.com/static/fonts/BlenderPro-MediumItalic-3.html	D:/misc/dogshit/Hello%20CIA,%20Dont%20Arrest%20me/karafuru-nfts.com/static/fonts/BlenderPro-MediumItalic-3.3b.delayed	(from https://karafuru-nfts.com/static/css/style.css)
18:31:36	264/264	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2023%20Apr%202022%2014:31:36%20GMT	https://karafuru-nfts.com/static/fonts/BlenderPro-MediumItalic-4.html	D:/misc/dogshit/Hello%20CIA,%20Dont%20Arrest%20me/karafuru-nfts.com/static/fonts/BlenderPro-MediumItalic-4.3c.delayed	(from https://karafuru-nfts.com/static/css/style.css)
18:31:37	264/264	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2023%20Apr%202022%2014:31:37%20GMT	https://karafuru-nfts.com/static/fonts/BlenderPro-BoldItalic.html	D:/misc/dogshit/Hello%20CIA,%20Dont%20Arrest%20me/karafuru-nfts.com/static/fonts/BlenderPro-BoldItalic.3d.delayed	(from https://karafuru-nfts.com/static/css/style.css)
18:31:38	264/264	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2023%20Apr%202022%2014:31:38%20GMT	https://karafuru-nfts.com/static/fonts/BlenderPro-BoldItalicd41d.html?	D:/misc/dogshit/Hello%20CIA,%20Dont%20Arrest%20me/karafuru-nfts.com/static/fonts/BlenderPro-BoldItalicd41d.3ed41d.delayed	(from https://karafuru-nfts.com/static/css/style.css)
18:31:39	264/264	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2023%20Apr%202022%2014:31:39%20GMT	https://karafuru-nfts.com/static/fonts/BlenderPro-BoldItalic-2.html	D:/misc/dogshit/Hello%20CIA,%20Dont%20Arrest%20me/karafuru-nfts.com/static/fonts/BlenderPro-BoldItalic-2.3f.delayed	(from https://karafuru-nfts.com/static/css/style.css)
18:31:40	264/264	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2023%20Apr%202022%2014:31:40%20GMT	https://karafuru-nfts.com/static/fonts/BlenderPro-BoldItalic-3.html	D:/misc/dogshit/Hello%20CIA,%20Dont%20Arrest%20me/karafuru-nfts.com/static/fonts/BlenderPro-BoldItalic-3.40.delayed	(from https://karafuru-nfts.com/static/css/style.css)
18:31:41	264/264	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2023%20Apr%202022%2014:31:41%20GMT	https://karafuru-nfts.com/static/fonts/BlenderPro-BoldItalic-4.html	D:/misc/dogshit/Hello%20CIA,%20Dont%20Arrest%20me/karafuru-nfts.com/static/fonts/BlenderPro-BoldItalic-4.41.delayed	(from https://karafuru-nfts.com/static/css/style.css)
